item_id,delta_difficulty_reg,note
halu_1554,0.2913644340512024,ok
halu_1562,-0.578596383206368,ok
halu_1691,0.2913644340512024,ok
halu_1742,-0.2913644340512024,ok
halu_2059,0.2913644340512024,ok
halu_2347,0.2913644340512024,ok
halu_2395,0.578596383206368,ok
halu_2592,0.2913644340512024,ok
halu_3233,-0.2913644340512024,ok
halu_340,0.578596383206368,ok
halu_3768,0.578596383206368,ok
halu_4011,0.2913644340512024,ok
halu_4121,0.2913644340512024,ok
halu_4371,0.2913644340512024,ok
halu_4773,0.2913644340512024,ok
halu_5119,0.578596383206368,ok
halu_5561,0.578596383206368,ok
halu_569,0.578596383206368,ok
halu_575,-0.2913644340512024,ok
halu_6004,0.2913644340512024,ok
halu_6028,0.2913644340512024,ok
halu_6293,0.2913644340512024,ok
halu_6357,0.2913644340512024,ok
halu_6456,0.578596383206368,ok
halu_6843,0.2913644340512024,ok
halu_7035,0.2913644340512024,ok
halu_7160,0.578596383206368,ok
halu_7231,0.2913644340512024,ok
halu_7360,-0.578596383206368,ok
halu_7682,-0.578596383206368,ok
halu_7688,0.578596383206368,ok
halu_7717,0.578596383206368,ok
halu_7994,0.578596383206368,ok
halu_8032,0.578596383206368,ok
halu_8202,0.2913644340512024,ok
halu_832,0.578596383206368,ok
halu_8684,0.2913644340512024,ok
halu_8924,0.578596383206368,ok
halu_893,-0.578596383206368,ok
halu_9193,0.578596383206368,ok
halu_9601,0.2913644340512024,ok
halu_9762,0.578596383206368,ok
halu_9894,0.578596383206368,ok
ragt_0,0.2913644340512024,ok
ragt_10512,-0.2913644340512024,ok
ragt_10581,-0.578596383206368,ok
ragt_10599,0.2913644340512024,ok
ragt_10615,,no variance
ragt_10756,0.578596383206368,ok
ragt_10760,-0.578596383206368,ok
ragt_10945,,no variance
ragt_11087,,no variance
ragt_11159,0.578596383206368,ok
ragt_1116,,no variance
ragt_1123,,no variance
ragt_11884,-0.578596383206368,ok
ragt_126,,no variance
ragt_12849,,no variance
ragt_13005,-0.578596383206368,ok
ragt_13247,-0.2913644340512024,ok
ragt_1331,,no variance
ragt_13434,,no variance
ragt_13486,0.578596383206368,ok
ragt_14012,0.578596383206368,ok
ragt_14092,0.2913644340512024,ok
ragt_14155,-0.578596383206368,ok
ragt_14163,,no variance
ragt_14201,-0.2913644340512024,ok
ragt_14327,-0.578596383206368,ok
ragt_14478,0.578596383206368,ok
ragt_14520,-0.578596383206368,ok
ragt_1476,-0.2913644340512024,ok
ragt_14761,0.2913644340512024,ok
ragt_14880,,no variance
ragt_15082,0.2913644340512024,ok
ragt_1585,-0.578596383206368,ok
ragt_1828,,no variance
ragt_2214,,no variance
ragt_2455,0.2913644340512024,ok
ragt_2799,,no variance
ragt_2816,,no variance
ragt_326,0.2913644340512024,ok
ragt_3637,,no variance
ragt_3642,-0.578596383206368,ok
ragt_3857,,no variance
ragt_4066,,no variance
ragt_4359,,no variance
ragt_4447,,no variance
ragt_4618,0.578596383206368,ok
ragt_5000,,no variance
ragt_5988,-0.578596383206368,ok
ragt_6267,-0.2913644340512024,ok
ragt_6860,-0.2913644340512024,ok
ragt_6963,-0.2913644340512024,ok
ragt_6985,-0.2913644340512024,ok
ragt_7297,,no variance
ragt_735,,no variance
ragt_7367,-0.2913644340512024,ok
ragt_758,,no variance
ragt_79,0.2913644340512024,ok
ragt_8114,0.2913644340512024,ok
ragt_843,-0.578596383206368,ok
ragt_8868,0.2913644340512024,ok
ragt_8887,0.2913644340512024,ok
ragt_8984,-0.2913644340512024,ok
ragt_9,,no variance
ragt_9130,-0.2913644340512024,ok
ragt_9468,0.578596383206368,ok
ragt_9755,-0.578596383206368,ok
tqa_10,-0.578596383206368,ok
tqa_104,0.578596383206368,ok
tqa_116,-0.2913644340512024,ok
tqa_124,,no variance
tqa_153,-0.2913644340512024,ok
tqa_172,-0.578596383206368,ok
tqa_209,-0.2913644340512024,ok
tqa_228,,no variance
tqa_260,-0.578596383206368,ok
tqa_261,,no variance
tqa_266,-0.2913644340512024,ok
tqa_277,,no variance
tqa_28,0.2913644340512024,ok
tqa_280,-0.578596383206368,ok
tqa_281,-0.2913644340512024,ok
tqa_285,-0.578596383206368,ok
tqa_287,,no variance
tqa_316,-0.2913644340512024,ok
tqa_372,-0.2913644340512024,ok
tqa_391,,no variance
tqa_512,-0.2913644340512024,ok
tqa_564,-0.578596383206368,ok
tqa_609,-0.578596383206368,ok
tqa_622,,no variance
tqa_639,,no variance
tqa_646,0.578596383206368,ok
tqa_647,,no variance
tqa_648,-0.578596383206368,ok
tqa_652,-0.578596383206368,ok
tqa_656,0.2913644340512024,ok
tqa_679,-0.2913644340512024,ok
tqa_701,-0.578596383206368,ok
tqa_702,-0.2913644340512024,ok
tqa_703,0.578596383206368,ok
tqa_719,-0.578596383206368,ok
tqa_752,-0.2913644340512024,ok
tqa_763,-0.2913644340512024,ok
tqa_772,-0.578596383206368,ok
tqa_795,0.578596383206368,ok
tqa_809,0.578596383206368,ok
tqa_96,0.578596383206368,ok
