item_id,drift_score,ceiling_effect,recommendation
halu_1088,0,False,Stable
halu_1468,1,False,Monitor
halu_1554,0,False,Stable
halu_1602,1,False,Monitor
halu_1691,0,False,Stable
halu_2347,0,False,Stable
halu_29,-1,False,Monitor
halu_2988,0,False,Stable
halu_4073,0,False,Stable
halu_4121,1,False,Monitor
halu_4304,-1,False,Monitor
halu_4317,0,False,Stable
halu_4629,0,False,Stable
halu_4952,0,False,Stable
halu_5151,0,False,Stable
halu_575,0,False,Stable
halu_6041,1,False,Monitor
halu_6234,0,False,Stable
halu_6355,0,False,Stable
halu_6843,0,False,Stable
halu_7231,0,False,Stable
halu_7360,0,False,Stable
halu_7717,-1,False,Monitor
halu_7994,1,False,Monitor
halu_8684,0,False,Stable
halu_893,0,False,Stable
halu_8944,1,False,Monitor
halu_9070,0,False,Stable
halu_9362,0,False,Stable
halu_9762,1,False,Monitor
ragt_0,0,True,Monitor
ragt_1014,0,True,Monitor
ragt_10574,0,True,Monitor
ragt_10615,0,False,Stable
ragt_10945,1,False,Monitor
ragt_1116,-1,False,Monitor
ragt_14012,0,False,Stable
ragt_14327,1,False,Monitor
ragt_14520,1,False,Monitor
ragt_14880,0,True,Monitor
ragt_2022,0,True,Monitor
ragt_2111,0,True,Monitor
ragt_2214,1,False,Monitor
ragt_2401,0,True,Monitor
ragt_2455,0,True,Monitor
ragt_2799,0,True,Monitor
ragt_281,0,True,Monitor
ragt_3637,0,True,Monitor
ragt_4066,0,False,Stable
ragt_4854,0,False,Stable
ragt_5000,0,True,Monitor
ragt_5287,1,False,Monitor
ragt_5791,1,False,Monitor
ragt_5988,1,False,Monitor
ragt_6211,0,True,Monitor
ragt_6516,0,True,Monitor
ragt_7297,0,True,Monitor
ragt_7367,0,True,Monitor
ragt_7679,0,False,Stable
ragt_9755,0,True,Monitor
tqa_10,0,False,Stable
tqa_121,0,False,Stable
tqa_153,0,False,Stable
tqa_164,0,True,Monitor
tqa_165,0,False,Stable
tqa_168,0,False,Stable
tqa_198,0,True,Monitor
tqa_261,0,True,Monitor
tqa_280,-1,False,Monitor
tqa_310,-1,False,Monitor
tqa_403,0,False,Stable
tqa_421,-1,False,Monitor
tqa_466,0,False,Stable
tqa_564,-1,False,Monitor
tqa_592,0,True,Monitor
tqa_597,-1,False,Monitor
tqa_600,0,True,Monitor
tqa_639,0,True,Monitor
tqa_647,0,True,Monitor
tqa_652,0,True,Monitor
tqa_674,-1,False,Monitor
tqa_679,-1,False,Monitor
tqa_681,0,False,Stable
tqa_688,0,False,Stable
tqa_71,0,False,Stable
tqa_795,0,False,Stable
tqa_796,0,False,Stable
tqa_85,1,False,Monitor
tqa_91,0,True,Monitor
tqa_95,0,False,Stable
